2023-01-16 14:51:54,314 INFO    StreamThr :69512 [internal.py:wandb_internal():87] W&B internal server running at pid: 69512, started at: 2023-01-16 14:51:54.313937
2023-01-16 14:51:54,315 DEBUG   HandlerThread:69512 [handler.py:handle_request():144] handle_request: status
2023-01-16 14:51:54,318 INFO    WriterThread:69512 [datastore.py:open_for_write():85] open: /Volumes/Work Disk Janina Mattes/DEV/University/ASP/ml-explorer-drone/PPO/ppo_torch/wandb/run-20230116_145154-re39h993/run-re39h993.wandb
2023-01-16 14:51:54,319 DEBUG   SenderThread:69512 [sender.py:send():334] send: header
2023-01-16 14:51:54,333 DEBUG   SenderThread:69512 [sender.py:send():334] send: run
2023-01-16 14:51:54,890 INFO    SenderThread:69512 [dir_watcher.py:__init__():216] watching files in: /Volumes/Work Disk Janina Mattes/DEV/University/ASP/ml-explorer-drone/PPO/ppo_torch/wandb/run-20230116_145154-re39h993/files
2023-01-16 14:51:54,890 INFO    SenderThread:69512 [sender.py:_start_run_threads():1065] run started: re39h993 with start time 1673877114.313521
2023-01-16 14:51:54,891 DEBUG   SenderThread:69512 [sender.py:send_request():361] send_request: summary_record
2023-01-16 14:51:54,892 INFO    SenderThread:69512 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2023-01-16 14:51:54,895 DEBUG   HandlerThread:69512 [handler.py:handle_request():144] handle_request: check_version
2023-01-16 14:51:54,895 DEBUG   SenderThread:69512 [sender.py:send_request():361] send_request: check_version
2023-01-16 14:51:55,057 DEBUG   HandlerThread:69512 [handler.py:handle_request():144] handle_request: run_start
2023-01-16 14:51:55,066 DEBUG   HandlerThread:69512 [system_info.py:__init__():31] System info init
2023-01-16 14:51:55,067 DEBUG   HandlerThread:69512 [system_info.py:__init__():46] System info init done
2023-01-16 14:51:55,067 INFO    HandlerThread:69512 [system_monitor.py:start():151] Starting system monitor
2023-01-16 14:51:55,067 INFO    SystemMonitor:69512 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-01-16 14:51:55,067 INFO    HandlerThread:69512 [system_monitor.py:probe():172] Collecting system info
2023-01-16 14:51:55,067 INFO    SystemMonitor:69512 [interfaces.py:start():168] Started cpu
2023-01-16 14:51:55,067 INFO    SystemMonitor:69512 [interfaces.py:start():168] Started disk
2023-01-16 14:51:55,069 DEBUG   HandlerThread:69512 [system_info.py:probe():195] Probing system
2023-01-16 14:51:55,069 INFO    SystemMonitor:69512 [interfaces.py:start():168] Started gpuapple
2023-01-16 14:51:55,071 INFO    SystemMonitor:69512 [interfaces.py:start():168] Started memory
2023-01-16 14:51:55,072 INFO    SystemMonitor:69512 [interfaces.py:start():168] Started network
2023-01-16 14:51:55,075 DEBUG   HandlerThread:69512 [system_info.py:_probe_git():180] Probing git
2023-01-16 14:51:55,091 DEBUG   HandlerThread:69512 [system_info.py:_probe_git():188] Probing git done
2023-01-16 14:51:55,091 DEBUG   HandlerThread:69512 [system_info.py:probe():241] Probing system done
