2023-01-13 18:37:42,289 INFO    StreamThr :33123 [internal.py:wandb_internal():87] W&B internal server running at pid: 33123, started at: 2023-01-13 18:37:42.289120
2023-01-13 18:37:42,290 DEBUG   HandlerThread:33123 [handler.py:handle_request():144] handle_request: status
2023-01-13 18:37:42,294 INFO    WriterThread:33123 [datastore.py:open_for_write():85] open: /Volumes/Work Disk Janina Mattes/DEV/University/ASP/ml-explorer-drone/PPO/ppo_torch/wandb/run-20230113_183742-57o6ovko/run-57o6ovko.wandb
2023-01-13 18:37:42,295 DEBUG   SenderThread:33123 [sender.py:send():334] send: header
2023-01-13 18:37:42,310 DEBUG   SenderThread:33123 [sender.py:send():334] send: run
2023-01-13 18:37:42,876 INFO    SenderThread:33123 [dir_watcher.py:__init__():216] watching files in: /Volumes/Work Disk Janina Mattes/DEV/University/ASP/ml-explorer-drone/PPO/ppo_torch/wandb/run-20230113_183742-57o6ovko/files
2023-01-13 18:37:42,877 INFO    SenderThread:33123 [sender.py:_start_run_threads():1065] run started: 57o6ovko with start time 1673631462.289451
2023-01-13 18:37:42,878 DEBUG   SenderThread:33123 [sender.py:send_request():361] send_request: summary_record
2023-01-13 18:37:42,879 INFO    SenderThread:33123 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2023-01-13 18:37:42,882 DEBUG   HandlerThread:33123 [handler.py:handle_request():144] handle_request: check_version
2023-01-13 18:37:42,882 DEBUG   SenderThread:33123 [sender.py:send_request():361] send_request: check_version
2023-01-13 18:37:43,029 DEBUG   HandlerThread:33123 [handler.py:handle_request():144] handle_request: run_start
2023-01-13 18:37:43,040 DEBUG   HandlerThread:33123 [system_info.py:__init__():31] System info init
2023-01-13 18:37:43,040 DEBUG   HandlerThread:33123 [system_info.py:__init__():46] System info init done
2023-01-13 18:37:43,040 INFO    HandlerThread:33123 [system_monitor.py:start():151] Starting system monitor
2023-01-13 18:37:43,040 INFO    SystemMonitor:33123 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-01-13 18:37:43,041 INFO    HandlerThread:33123 [system_monitor.py:probe():172] Collecting system info
2023-01-13 18:37:43,041 INFO    SystemMonitor:33123 [interfaces.py:start():168] Started cpu
